lipid,salt conc (mono),salt conc (di),pH,Rh,temp,zeta,sd,ref,notes,,,
DMPC,20,0,7.4,200,23,-9.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,40,0,7.4,200,23,-4,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,60,0,7.4,200,23,-2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,80,0,7.4,200,23,-0.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,100,0,7.4,200,23,2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,125,0,7.4,200,23,-0.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,154,0,7.4,200,23,1.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,5,0,7.4,200,33,-17,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,10,0,7.4,200,33,-2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,20,0,7.4,200,33,0,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,40,0,7.4,200,33,1,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,60,0,7.4,200,33,3,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,80,0,7.4,200,33,2.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,100,0,7.4,200,33,4.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,125,0,7.4,200,33,4.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,154,0,7.4,200,33,4,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,5,0,7.4,200,33,-9,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,10,0,7.4,200,33,-6,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,20,0,7.4,200,33,-2.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,40,0,7.4,200,33,-6,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,60,0,7.4,200,33,-3,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,80,0,7.4,200,33,0,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,100,0,7.4,200,33,-1,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,125,0,7.4,200,33,-2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,154,0,7.4,200,33,-1.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,5,0,7.4,200,38,-17,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,10,0,7.4,200,38,-20,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,20,0,7.4,200,38,-6,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,40,0,7.4,200,38,-8,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,60,0,7.4,200,38,-0.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,80,0,7.4,200,38,0.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,100,0,7.4,200,38,2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,125,0,7.4,200,38,1.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,154,0,7.4,200,38,2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,5,0,7.4,200,53,-15.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,10,0,7.4,200,53,-13.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,20,0,7.4,200,53,-9,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,40,0,7.4,200,53,-5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,60,0,7.4,200,53,-3.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,80,0,7.4,200,53,-2.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,100,0,7.4,200,53,0,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,125,0,7.4,200,53,-0.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DPPC,154,0,7.4,200,53,1,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,5,0,7.4,200,45,-6.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,10,0,7.4,200,45,-1,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,20,0,7.4,200,45,0.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,40,0,7.4,200,45,3,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,60,0,7.4,200,45,5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,80,0,7.4,200,45,5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,100,0,7.4,200,45,6.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,125,0,7.4,200,45,7.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,154,0,7.4,200,45,8.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,5,0,7.4,200,50,-19,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,10,0,7.4,200,50,-10.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,20,0,7.4,200,50,-5.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,40,0,7.4,200,50,0,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,60,0,7.4,200,50,3,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,80,0,7.4,200,50,4,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,100,0,7.4,200,50,6.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,125,0,7.4,200,50,6,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,154,0,7.4,200,50,8.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,5,0,7.4,200,55,-6.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,10,0,7.4,200,55,-2.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,20,0,7.4,200,55,1,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,40,0,7.4,200,55,5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,60,0,7.4,200,55,6,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,80,0,7.4,200,55,7,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,100,0,7.4,200,55,9,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,125,0,7.4,200,55,9,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,154,0,7.4,200,55,10.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
PC,,0,7.4,3760,25,-2.45,0.77,"Fatouros, Antimisiaris, 2002","salt conc unclear, mixed tail lengths",,,
DSPC/Chol 80:20,150,0,7.4,55,25,-2.5,0.3,"Silvander, Hannson, Edards (1999)",none,,,
TOCL/POPG/POPE/POPC 2.5:0:58.5:39,100,0,7.4,55,25,-16,1,"Markones, fippel, kaiser, kerechsler, hunte, heerklotz, 2020",buffer: kcl,,,
TOCL/POPG/POPE/POPC 2.5:5:55.5:37,100,0,7.4,55,25,-22,2,"Markones, fippel, kaiser, kerechsler, hunte, heerklotz, 2020",buffer: kcl,,,
TOCL/POPG/POPE/POPC 2.5:10:52.5:35,100,0,7.4,55,25,-24,0.3,"Markones, fippel, kaiser, kerechsler, hunte, heerklotz, 2020",buffer: kcl,,,
TOCL/POPG/POPE/POPC 2.5:15:49.5:33,100,0,7.4,55,25,-31,2,"Markones, fippel, kaiser, kerechsler, hunte, heerklotz, 2020",buffer: kcl,,,
TOCL/POPG/POPE/POPC 2.5:21:45.9:30.6,100,0,7.4,55,25,-35,0.2,"Markones, fippel, kaiser, kerechsler, hunte, heerklotz, 2020",buffer: kcl,,,
TOCL/POPG/POPE/POPC 2.5:22.5:45:30,100,0,7.4,55,25,-37,4,"Markones, fippel, kaiser, kerechsler, hunte, heerklotz, 2020",buffer: kcl,,,
TOCL/POPG/POPE/POPC 2.5:25:43.5:29,100,0,7.4,55,25,-37.5,1,"Markones, fippel, kaiser, kerechsler, hunte, heerklotz, 2020",buffer: kcl,,,
TOCL/POPG/POPE/POPC 2.5:30:40.5:27,100,0,7.4,55,25,-42,1,"Markones, fippel, kaiser, kerechsler, hunte, heerklotz, 2020",buffer: kcl,,,
TOCL/POPG/POPE/POPC 2.5:60:22.5:15,100,0,7.4,55,25,-47,2,"Markones, fippel, kaiser, kerechsler, hunte, heerklotz, 2020",buffer: kcl,,,
DMPC,1,0,7.5,400,20,-13.5,,"Lairon, disalvo, 2009",buffer: kcl,,,
DMPC,3,0,7.5,400,20,-7.5,,"Lairon, disalvo, 2009",buffer: kcl,,,
DMPC,5,0,7.5,400,20,-6.5,,"Lairon, disalvo, 2009",buffer: kcl,,,
DMPC,10,0,7.5,400,20,-5.5,,"Lairon, disalvo, 2009",buffer: kcl,,,
POPC/POPG 96:4,100,0,7.4,58,25,-10.5,2,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 89:11,100,0,7.4,58,25,-16.5,1,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 84:16,100,0,7.4,58,25,-21.5,0.4,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 84:16,100,0,7.4,58,25,-23,0.4,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 80:20,100,0,7.4,58,25,-25.5,1,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 79:21,100,0,7.4,58,25,-27.5,2.5,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 75:25,100,0,7.4,58,25,-29,2,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 68:32,100,0,7.4,58,25,-32,1,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 58:42,100,0,7.4,58,25,-38.5,1.2,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 34:66,100,0,7.4,58,25,-43,1,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
DMPC,10,0,7.4,1000,26,2,0.3,"Tatulian, 1983",variable size ~1 uM,,,
DMPC,10,0,7.4,1000,18,-1.5,0.3,"Tatulian, 1983",variable size ~1 uM,,,
DMPA,10,0,1.5,60,25,-62,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPA,10,0,2,60,25,-70,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPA,10,0,3,60,25,-67,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPA,10,0,4,60,25,-67,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPA,10,0,5,60,25,-65,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPA,10,0,6,60,25,-65,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPA,10,0,7,60,25,-63.5,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPA,10,0,8,60,25,-62,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPA,10,0,9,60,25,-62,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPA,10,0,10,60,25,-62,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPS,10,0,2,60,25,-15.5,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPS,10,0,3,60,25,-45,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPS,10,0,4,60,25,-51,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPS,10,0,5,60,25,-57,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPS,10,0,6,60,25,-59,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPS,10,0,7,60,25,-51,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPS,10,0,8,60,25,-56,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPS,10,0,9,60,25,-62,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPS,10,0,10,60,25,-56,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
SM,10,0,2,60,25,31,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
SM,10,0,3,60,25,15.5,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
SM,10,0,4,60,25,7.5,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
SM,10,0,5,60,25,1.5,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
SM,10,0,6,60,25,-9,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
SM,10,0,7,60,25,-15,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
SM,10,0,8,60,25,-19.4,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
SM,10,0,9,60,25,-31,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
SM,10,0,10,60,25,-26,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPG,10,0,2,60,25,-61,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPG,10,0,3,60,25,-64,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPG,10,0,4,60,25,-64,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPG,10,0,5,60,25,-70,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPG,10,0,6,60,25,-74,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPG,10,0,7,60,25,-73,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPG,10,0,8,60,25,-74,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPG,10,0,9,60,25,-76,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPG,10,0,10,60,25,-74,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPC,10,0,2,60,25,18.5,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPC,10,0,3,60,25,4,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPC,10,0,4,60,25,6,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPC,10,0,5,60,25,0,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPC,10,0,6,60,25,-1,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPC,10,0,7,60,25,-4,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPC,10,0,8,60,25,-5,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPC,10,0,9,60,25,-5.5,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPC,10,0,10,60,25,-6,,"Le, Ropers, Terrisse, Humbert, 2014",extracted from small figure,,,
DMPC/DMPG 87.5:12.5,100,0,8.5,82,25,-12.4,,this study,none,,,
DMPC/DMPG 75:25,100,0,8.5,95,25,-19.67,,this study,none,,,
DMPC/DMPG 62.5:37.5,100,0,8.5,61,25,-22,,this study,none,,,
DMPC/DMPG 50:50,100,0,8.5,82,25,-24.67,,this study,none,,,
DMPC/DMPG 37.5:62.5,100,0,8.5,71,25,-27.1,,this study,none,,,
DMPC/DMPG 25:75,100,0,8.5,82,25,-28.37,,this study,none,,,
DMPC/DMPG 12.5:87.5,100,0,8.5,71,25,-29.1,,this study,none,,,
